STATION,NAME,DATE,TAVG
VM000048900,"TAN SON HOA, VM",1/1/2002,25.55555556
VM000048900,"TAN SON HOA, VM",1/2/2002,25
VM000048900,"TAN SON HOA, VM",1/3/2002,25
VM000048900,"TAN SON HOA, VM",1/4/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/5/2002,26.11111111
VM000048900,"TAN SON HOA, VM",1/6/2002,26.11111111
VM000048900,"TAN SON HOA, VM",1/7/2002,26.11111111
VM000048900,"TAN SON HOA, VM",1/8/2002,25.55555556
VM000048900,"TAN SON HOA, VM",1/9/2002,26.11111111
VM000048900,"TAN SON HOA, VM",1/10/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/11/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/12/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/13/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/14/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/15/2002,28.33333333
VM000048900,"TAN SON HOA, VM",1/16/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/17/2002,27.22222222
VM000048900,"TAN SON HOA, VM",1/18/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/19/2002,28.88888889
VM000048900,"TAN SON HOA, VM",1/20/2002,28.33333333
VM000048900,"TAN SON HOA, VM",1/21/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/22/2002,27.22222222
VM000048900,"TAN SON HOA, VM",1/23/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/24/2002,27.22222222
VM000048900,"TAN SON HOA, VM",1/25/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/26/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/27/2002,28.33333333
VM000048900,"TAN SON HOA, VM",1/28/2002,28.33333333
VM000048900,"TAN SON HOA, VM",1/29/2002,27.77777778
VM000048900,"TAN SON HOA, VM",1/30/2002,26.66666667
VM000048900,"TAN SON HOA, VM",1/31/2002,26.11111111
VM000048900,"TAN SON HOA, VM",2/1/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/2/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/3/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/4/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/5/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/6/2002,26.11111111
VM000048900,"TAN SON HOA, VM",2/7/2002,26.11111111
VM000048900,"TAN SON HOA, VM",2/8/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/9/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/10/2002,27.22222222
VM000048900,"TAN SON HOA, VM",2/11/2002,26.11111111
VM000048900,"TAN SON HOA, VM",2/12/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/13/2002,26.66666667
VM000048900,"TAN SON HOA, VM",2/14/2002,26.66666667
